date	AAPL	SPY	TSLA	WMT	MSFT	DIS
2024-09-30	231.06704711914062	562.2103271484375	261.6300048828125	79.30255889892578	423.6082458496094	93.99790954589844
2024-10-31	224.035888671875	557.1935424804688	249.85000610351562	80.48104858398438	400.03076171875	94.0076675415039
2024-11-29	235.62010192871094	590.4208984375	345.1600036621094	90.84193420410156	417.7091064453125	114.79293823242188
2024-12-31	248.6157989501953	576.2152709960938	403.8399963378906	88.92707061767578	415.77569580078125	109.29456329345703
2025-01-31	234.2996826171875	591.6903686523438	404.6000061035156	96.61406707763672	409.4231872558594	110.9729995727539
2025-02-28	240.36158752441406	584.178955078125	292.9800109863281	97.05697631835938	392.3836975097656	111.69934844970703
2025-03-31	220.77207946777344	551.6289672851562	259.1600036621094	86.64466094970703	371.034423828125	96.87808227539062
2025-04-30	211.20094299316406	546.8462524414062	282.1600036621094	95.98125457763672	390.6738586425781	89.27113342285156
2025-05-30	199.8839569091797	581.2127075195312	346.4599914550781	97.66764831542969	455.85382080078125	110.953369140625
2025-06-30	204.1831512451172	611.0790405273438	317.6600036621094	96.73766326904297	492.5411682128906	122.23994445800781
2025-07-31	206.5716552734375	625.1531372070312	308.2699890136719	96.93553161621094	528.2778930664062	117.4098892211914
2025-08-29	231.28562927246094	637.9810180664062	333.8699951171875	96.1702880859375	502.55511474609375	116.69029998779297
2025-09-30	253.69287109375	660.7061157226562	444.7200012207031	102.19952392578125	513.7232666015625	112.86568450927734
2025-10-31	269.3749084472656	676.45556640625	456.55999755859375	100.33522033691406	513.5843505859375	111.01251983642578
2025-11-28	278.0930480957031	677.7747192382812	430.1700134277344	109.58732604980469	488.9082946777344	102.97884368896484
2025-12-31	271.12200927734375	678.3152465820312	449.7200012207031	110.70501708984375	480.5711669921875	112.90486907958984
2026-01-30	258.7756652832031	688.3120727539062	430.4100036621094	118.3861083984375	427.577392578125	111.94225311279297
2026-02-27	263.7093811035156	682.3637084960938	402.510009765625	127.1403579711914	391.15484619140625	105.23365020751953
2026-03-31	253.337890625	648.6688842773438	371.75	123.74702453613281	368.67596435546875	95.64710998535156
2026-04-30	270.86663818359375	716.8132934570312	381.6300048828125	131.36419677734375	406.1341552734375	102.96106719970703
2026-05-29	311.7911071777344	754.5361328125	435.7900085449219	115.47355651855469	449.3940124511719	101.05567169189453
2026-06-30	289.11065673828125	746.77001953125	420.6000061035156	112.989501953125	372.319091796875	96.25
2026-07-31	308.6438293457031	747.030029296875	311.2099914550781	110.93441772460938	463.8468017578125	96.19000244140625
2026-08-31	316.8500061035156	767.0499877929688	367.95001220703125	104.87000274658203	507.2900085449219	107.55000305175781
